id	antibody	tf_uniprot_id	tf_uniprot_ac	protein_names	gene_names	species	cell_title	treatment	experiment_type	GEO_GSE	GEO_GSM	ENCODE	PUBMED	control_antibody	control_GEO_GSE	control_GEO_GSM	control_ENCODE	FRiP_GEM	FRiP_MACS	FRiP_PICS	FRiP_SISSRS	estFragLen	NSC	RSC	NRF	PBC1	PBC2
EXP039332	ab55744	Q16656	NRF1_HUMAN	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91522	None	ENCSR135ANT	None	sc-2027	GSE91902	None	ENCSR594UCI	0.009116729	0.015375658	0.002583724	0.007280853	3726	1.044819	1.643025	0.987684	0.989299	99.852255
EXP039376	A301-531A	Q92610	ZN592_HUMAN	Zinc finger protein 592	ZNF592 KIAA0211	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91425	None	ENCSR028NUR	None	sc-2027	GSE91902	None	ENCSR594UCI	0.00033698	0.002585201	7.92E-05	0.000359734	4260	1.01717	1.632502	0.992864	0.993598	163.437446
EXP039444	sc-1694	P05412	JUN_HUMAN	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91550	None	ENCSR176EXN	None	sc-2027	GSE91902	None	ENCSR594UCI	0.001936859	0	0.000250045	0.000999008	4068	1.021185	1.739187	0.989966	0.9909	114.815349
EXP039539	sc-66882	P11474	ERR1_HUMAN	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	ESRRA ERR1 ESRL1 NR3B1	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE92187	None	ENCSR954WVZ	None	sc-2027	GSE91902	None	ENCSR594UCI	0.004166437	0	0.001025156	0.002462687	3838	1.026677	1.557156	0.986618	0.987898	86.661179
EXP039563	1277-1	P19419	ELK1_HUMAN	ETS domain-containing protein Elk-1	ELK1	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91713	None	ENCSR382WLL	None	sc-2027	GSE91902	None	ENCSR594UCI	0.006247	0	0.001867097	0.004457031	4385	1.036852	1.775408	0.990306	0.99153	125.567906
EXP039577	ab50322	O60675	MAFK_HUMAN	Transcription factor MafK (Erythroid transcription factor NF-E2 p18 subunit)	MAFK	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR555PBN	None	sc-2027	GSE91902	None	ENCSR594UCI	0.016813441	0	0.010822901	0.016008339	4129	1.092482	1.914767	0.986559	0.989234	104.211766
EXP039585	HPA006672	P17029	ZKSC1_HUMAN	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)	ZKSCAN1 KOX18 ZNF139 ZNF36	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91769	None	ENCSR449UFF	None	sc-2027	GSE91902	None	ENCSR594UCI	0.002367676	0	0.000159014	0.001394835	3030	1.028117	1.436982	0.988637	0.989796	102.90433
EXP039654	ab85725	P56270	MAZ_HUMAN	Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor) (Serum amyloid A-activating factor-1) (SAF-1) (Transcription factor Zif87) (ZF87) (Zinc finger protein 801)	MAZ ZNF801	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91633	None	ENCSR288IJC	None	sc-2027	GSE91902	None	ENCSR594UCI	0.005698438	0.027154344	0.000359724	0.002641294	4248	1.031769	1.505174	0.986881	0.988225	89.283599
EXP039668	sc-10813	Q13330	MTA1_HUMAN	Metastasis-associated protein MTA1	MTA1	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91687	None	ENCSR348JOJ	None	sc-2027	GSE91902	None	ENCSR594UCI	0.003505587	0.015548939	0.001591204	0.002770465	4358	1.038461	1.844382	0.986533	0.988148	89.738221
EXP039756	A303-701A	O15156	ZBT7B_HUMAN	Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (hcKrox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger and BTB domain-containing protein 15) (Zinc finger protein 67 homolog) (Zfp-67) (Zinc finger protein 857B) (Zinc finger protein Th-POK)	ZBTB7B ZBTB15 ZFP67 ZNF857B	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR277BXW	None	sc-2027	GSE91902	None	ENCSR594UCI	0.00312696	0	0.000569863	0.002086147	4325	1.02496	1.524012	0.988879	0.989987	104.640619
EXP039793	sc-769	Q99583	MNT_HUMAN	Max-binding protein MNT (Class D basic helix-loop-helix protein 3) (bHLHd3) (Myc antagonist MNT) (Protein ROX)	MNT BHLHD3 ROX	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91968	None	ENCSR663ZZZ	None	sc-2027	GSE91902	None	ENCSR594UCI	0.038467757	0.074395073	0.022973872	0.023275719	4176	1.142878	1.824623	0.979625	0.98397	70.701558
EXP039809	HPA039433	Q9BTC8	MTA3_HUMAN	Metastasis-associated protein MTA3	MTA3 KIAA1266	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91727	None	ENCSR391KQC	None	sc-2027	GSE91902	None	ENCSR594UCI	0.00074183	0.009068611	4.22E-05	0.000502983	3492	1.021414	1.467194	0.989879	0.991111	118.247978
EXP039893	200-401-194	P48382	RFX5_HUMAN	DNA-binding protein RFX5 (Regulatory factor X 5)	RFX5	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR924TVL	None	sc-2027	GSE91902	None	ENCSR594UCI	0.017595745	0.026724311	0.011622184	0.016329908	3707	1.14358	1.86541	0.97828	0.986005	83.633595
EXP039931	sc-30189	Q9UKL0	None	None	None	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE91726	None	ENCSR391JII	None	sc-2027	GSE91902	None	ENCSR594UCI	0.003931203	0	8.64E-05	0.002037398	3753	1.03066	1.493516	0.990176	0.991288	121.224884
EXP039990	HPA003384	P17544	ATF7_HUMAN	Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A)	ATF7 ATFA	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR866QPZ	None	sc-2027	GSE91902	None	ENCSR594UCI	0.030199716	0	0.019910227	0.022061918	4130	1.099595	1.668463	0.98734	0.989644	108.153305
EXP040095	N8664	Q15233	NONO_HUMAN	"Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)"	NONO NRB54	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	GSE92159	None	ENCSR912NMR	None	sc-2027	GSE91902	None	ENCSR594UCI	0.000641839	0.008972662	1.28E-05	0.000264998	3889	1.021704	1.426692	0.989659	0.990791	113.856608
EXP040137	sc-7202	P01100	FOS_HUMAN	Proto-oncogene c-Fos (Cellular oncogene fos) (G0/G1 switch regulatory protein 7)	FOS G0S7	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR569XNP	None	sc-2027	GSE91902	None	ENCSR594UCI	0.093042098	0.129428716	0.058061419	0.051514539	3598	1.375851	1.806832	0.958014	0.971229	43.68796
EXP040141	GTX100308	P55317	FOXA1_HUMAN	Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A)	FOXA1 HNF3A TCF3A	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR126YEB	None	sc-2027	GSE91902	None	ENCSR594UCI	0.082739031	0	0.064724022	0.070570208	3373	1.398826	1.841497	0.970042	0.980928	66.982714
EXP040264	4373S	Q13562	NDF1_HUMAN	Neurogenic differentiation factor 1 (NeuroD) (NeuroD1) (Class A basic helix-loop-helix protein 3) (bHLHa3)	NEUROD1 BHLHA3 NEUROD	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR006WUS	None	sc-2027	GSE91902	None	ENCSR594UCI	0.003333987	0	0.000297722	0.001866172	3378	1.028519	1.429607	0.989474	0.990705	113.660237
EXP039612	07-729	P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens	Peyer's patch	None	normal	None	None	ENCSR391ZKN	None	None	None	None	ENCSR584RZY	0.022112946	0.043379477	0.023917207	0.020132622	2433	1.053133	1.346698	0.995019	0.995389	226.581294
EXP039606	1277-1	P19419	ELK1_HUMAN	ETS domain-containing protein Elk-1	ELK1	Homo sapiens	IMR90 (lung fibroblasts)	None	normal	GSE91969	None	ENCSR664OKA	None	None	GSE92197	None	ENCSR970FKL	0.000584839	0	0.044203108	0.000672827	526	1.043876	1.780377	0.748897	0.764674	4.597475
EXP039771	sc-13032	Q16236	NF2L2_HUMAN	"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)"	NFE2L2 NRF2	Homo sapiens	IMR90 (lung fibroblasts)	None	normal	GSE91565	None	ENCSR197WGI	None	None	GSE92197	None	ENCSR970FKL	0.041372834	0.086912287	0.104391202	0.0417355	515	1.371504	2.095262	0.854365	0.861707	7.320077
EXP039798	ab60931	Q15853	USF2_HUMAN	Upstream stimulatory factor 2 (Class B basic helix-loop-helix protein 12) (bHLHb12) (FOS-interacting protein) (FIP) (Major late transcription factor 2) (Upstream transcription factor 2)	USF2 BHLHB12	Homo sapiens	IMR90 (lung fibroblasts)	None	normal	None	None	ENCSR513UQG	None	None	GSE92197	None	ENCSR970FKL	0.055912407	0.107734564	0.05269074	0.058927294	355	1.463806	1.929267	0.858036	0.879037	8.589678
EXP039888	sc-7202	P01100	FOS_HUMAN	Proto-oncogene c-Fos (Cellular oncogene fos) (G0/G1 switch regulatory protein 7)	FOS G0S7	Homo sapiens	IMR90 (lung fibroblasts)	None	normal	None	None	ENCSR124AIG	None	None	GSE92197	None	ENCSR970FKL	0.059426016	0	0.122379215	0.055859662	1334	1.23411	1.876477	0.941068	0.943192	17.910971
EXP039939	NB100-1800	O14503	BHE40_HUMAN	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	Homo sapiens	IMR90 (lung fibroblasts)	None	normal	GSE92189	None	ENCSR957KYB	None	None	GSE92197	None	ENCSR970FKL	0.057789304	0.136950667	0.057883409	0.049288295	668	1.410024	1.639675	0.832127	0.833575	5.895795
EXP039750	goat-anti-GFP-UC	P15036	ETS2_HUMAN	Protein C-ets-2	ETS2	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR596IKD	None	None	None	None	ENCSR614FBE	9.91E-05	0	6.05E-05	0.000103856	4482	1.005378	1.504128	0.992331	0.99295	145.846739
EXP040128	07-729	P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens	adrenal gland	None	normal	None	None	ENCSR014GSQ	None	None	None	None	ENCSR867NUH	0.073630007	0	0.066712485	0.05477228	2458	1.302047	1.408088	0.985303	0.987206	87.776302
EXP039677	07-729	P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens	transverse colon	None	normal	None	None	ENCSR833FWC	None	None	None	None	ENCSR799YAO	0.118961187	0	0.144185461	0.112182226	3835	1.484339	1.512743	0.980537	0.982719	64.150737
EXP039614	sc-8051x	P17275	JUNB_HUMAN	Transcription factor jun-B	JUNB	Homo sapiens	A549 (lung carcinoma)	100nM dexamethasone (CHEBI:41879) for 5 hour	normal	GSE92829	None	ENCSR814UWE	None	None	GSE92816	None	ENCSR565ZHQ	0.022914989	0.05111963	0.000211537	0.018255596	3753	1.065448	1.652428	0.966145	0.967746	31.662728
EXP040017	558036	P05412	JUN_HUMAN	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens	A549 (lung carcinoma)	100nM dexamethasone (CHEBI:41879) for 5 hour	normal	GSE92812	None	ENCSR504LBE	None	None	GSE92816	None	ENCSR565ZHQ	0.013517259	0	0.000191091	0.01665753	4184	1.042757	1.105543	0.966578	0.968044	31.826973
EXP040193	61311	P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens	A549 (lung carcinoma)	100nM dexamethasone (CHEBI:41879) for 5 hour	normal	GSE92832	None	ENCSR876UZD	None	None	GSE92816	None	ENCSR565ZHQ	0.127767458	0.219514806	0.113843554	0.093213219	2319	1.733263	2.200574	0.924255	0.937854	19.055145
EXP039666	goat-anti-GFP-UC	Q06546	GABPA_HUMAN	GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)	GABPA E4TF1A	Homo sapiens	MCF7 (Invasive ductal breast carcinoma)	None	normal	None	None	ENCSR038RXU	None	None	None	None	ENCSR814KDE	0.003238245	0	0.000772638	0.002551619	3242	1.013189	0.6434476	0.966361	0.967793	31.417734
EXP039598	goat-anti-GFP-UC	P50549	ETV1_HUMAN	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91626	None	ENCSR277DMR	None	None	GSE91970	None	ENCSR667RDX	0.028579686	0	0.003609678	0.005433552	3091	1.107521	1.369543	0.9832	0.987438	94.671321
EXP039832	07-729	P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens	upper lobe of left lung	None	normal	None	None	ENCSR027FSZ	None	None	None	None	ENCSR062MVC	0.161080514	0	0.113477684	0.094755375	2993	2.112965	1.451552	0.950226	0.962849	34.964849
EXP039532	HPA006672	P17029	ZKSC1_HUMAN	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)	ZKSCAN1 KOX18 ZNF139 ZNF36	Homo sapiens	HepG2 (hepatoblastoma)	None	normal	GSE91537	None	ENCSR157CAU	None	None	GSE91913	None	ENCSR613TDP	0.008035432	0	0.009213324	0.009534388	545	1.060216	1.028736	0.968154	0.971705	36.294996
EXP039557	sc-13032	Q16236	NF2L2_HUMAN	"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)"	NFE2L2 NRF2	Homo sapiens	HepG2 (hepatoblastoma)	None	normal	GSE91809	None	ENCSR488EES	None	None	GSE91913	None	ENCSR613TDP	0.012944987	0	0.013795889	0.013293465	629	1.087769	1.732672	0.948536	0.951853	21.151755
EXP040053	16618-1-AP	P52747	ZN143_HUMAN	Zinc finger protein 143 (SPH-binding factor) (Selenocysteine tRNA gene transcription-activating factor) (hStaf)	ZNF143 SBF STAF	Homo sapiens	HepG2 (hepatoblastoma)	None	normal	GSE91485	None	ENCSR101FJT	None	None	GSE91913	None	ENCSR613TDP	0.068722394	0	0.06318917	0.065109484	668	1.517599	1.740273	0.911264	0.945168	20.871728
EXP040057	HPA004051	Q8TF68	ZN384_HUMAN	Zinc finger protein 384 (CAG repeat protein 1) (CAS-interacting zinc finger protein) (Nuclear matrix transcription factor 4) (Nuclear matrix protein 4) (Trinucleotide repeat-containing gene 1 protein)	ZNF384 CAGH1 CIZ NMP4 TNRC1	Homo sapiens	HepG2 (hepatoblastoma)	None	normal	GSE91486	None	ENCSR101FJU	None	None	GSE91913	None	ENCSR613TDP	0.031444875	0.09604059	0.034464791	0.032706929	1021	1.189299	1.519748	0.942468	0.947577	19.783414
EXP040292	NB100-92169	P14921	ETS1_HUMAN	Protein C-ets-1 (p54)	ETS1 EWSR2	Homo sapiens	HepG2 (hepatoblastoma)	None	normal	None	None	ENCSR681WHQ	None	None	GSE91913	None	ENCSR613TDP	0.008378653	0.044035305	0.009492446	0.008837057	1213	1.037967	0.9037769	0.957399	0.959761	24.998372
EXP039453	07-729	P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens	esophagus squamous epithelium	None	normal	None	None	ENCSR003SZZ	None	None	None	None	ENCSR710DTC	0.05585454	0.101038308	0.04106442	0.036201669	2863	1.17368	1.409037	0.987935	0.989204	101.696979
EXP039320	A302-473A	O60315	ZEB2_HUMAN	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91663	None	ENCSR322CFO	None	None	GSE91548	None	ENCSR173USI	0.018442252	0	0.007075486	0.010167662	3505	1.072014	1.395618	0.987874	0.988826	93.903724
EXP039368	R157.1.3D4	Q16656	NRF1_HUMAN	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE92224	None	ENCSR998AJK	None	None	GSE91548	None	ENCSR173USI	0.328644097	0	0.094859996	0.291391159	4712	5.261133	2.676964	0.723681	0.927417	34.763982
EXP039374	GTX116020	P17542	TAL1_HUMAN	T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)	TAL1 BHLHA17 SCL TCL5	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91490	None	ENCSR106FRG	None	None	GSE91548	None	ENCSR173USI	0.098522214	0.139883908	0.073120476	0.093311447	3238	1.802058	7519-01-01 0:00	0.948689	0.973365	56.928298
EXP039380	S9809	P08047	SP1_HUMAN	Transcription factor Sp1	SP1 TSFP1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE92217	None	ENCSR991ELG	None	None	GSE91548	None	ENCSR173USI	0.019075413	0.038399982	0.008934914	0.014242636	4087	1.090904	1.641538	0.987848	0.990017	110.515283
EXP039391	sc-769	Q99583	MNT_HUMAN	Max-binding protein MNT (Class D basic helix-loop-helix protein 3) (bHLHd3) (Myc antagonist MNT) (Protein ROX)	MNT BHLHD3 ROX	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR512NLO	None	None	GSE91548	None	ENCSR173USI	0.040473303	0.10583348	0.026787833	0.034068121	3838	1.162231	1.465401	0.983272	0.985826	78.932398
EXP039392	HPA003256	O14770	MEIS2_HUMAN	Homeobox protein Meis2 (Meis1-related protein 1)	MEIS2 MRG1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR851BNE	None	None	GSE91548	None	ENCSR173USI	0.078859478	0	0.043163136	0.047676334	3110	1.45009	1.664453	0.959296	0.973144	48.032758
EXP039400	A303-230A	P67809	YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91492	None	ENCSR107RHZ	None	None	GSE91548	None	ENCSR173USI	4.67E-05	0	2.34E-06	0.000171904	2646	1.014423	1.522837	0.993292	0.993557	157.622637
EXP039436	A303-285A	Q8IWY8	ZSC29_HUMAN	Zinc finger and SCAN domain-containing protein 29 (Zinc finger protein 690)	ZSCAN29 ZNF690	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91549	None	ENCSR175SZH	None	None	GSE91548	None	ENCSR173USI	0.017691277	0	0.011615627	0.016870161	3976	1.108016	1.467153	0.987831	0.990504	118.676817
EXP039443	A303-390A	P18146	EGR1_HUMAN	Early growth response protein 1 (EGR-1) (AT225) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor ETR103) (Transcription factor Zif268) (Zinc finger protein 225) (Zinc finger protein Krox-24)	EGR1 KROX24 ZNF225	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR211LTF	None	None	GSE91548	None	ENCSR173USI	0.04702413	0.104532433	0.040541308	0.041531006	3709	1.195321	1.570131	0.983158	0.98615	82.813771
EXP039447	A300-754A	Q99081	HTF4_HUMAN	Transcription factor 12 (TCF-12) (Class B basic helix-loop-helix protein 20) (bHLHb20) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4)	TCF12 BHLHB20 HEB HTF4	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR744WOO	None	None	GSE91548	None	ENCSR173USI	0.086850864	0	0.061996199	0.079028175	3110	1.684053	1.64636	0.956471	0.975147	58.136113
EXP039455	A301-729A	Q01167	FOXK2_HUMAN	Forkhead box protein K2 (Cellular transcription factor ILF-1) (FOXK1) (Interleukin enhancer-binding factor 1)	FOXK2 ILF ILF1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91827	None	ENCSR508DQA	None	None	GSE91548	None	ENCSR173USI	0.028132953	0	0.061899157	0.020955568	3131	1.149862	1.439714	0.986065	0.98895	102.564129
EXP039461	GTX114835	P10589	COT1_HUMAN	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)	NR2F1 EAR3 ERBAL3 TFCOUP1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE92199	None	ENCSR970NKQ	None	None	GSE91548	None	ENCSR173USI	0.06938688	0.177461192	0.103014345	0.062336261	3707	1.309824	1.462993	0.978642	0.982381	65.587553
EXP039462	A300-343A	Q15788	NCOA1_HUMAN	Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1)	NCOA1 BHLHE74 SRC1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE92176	None	ENCSR931HNY	None	None	GSE91548	None	ENCSR173USI	0.016706291	0	0.082008009	0.015206274	4127	1.089444	1.491866	0.990856	0.992191	138.980282
EXP039466	HPA039433	Q9BTC8	MTA3_HUMAN	Metastasis-associated protein MTA3	MTA3 KIAA1266	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR914NEI	None	None	GSE91548	None	ENCSR173USI	0.012799508	0	0.000796557	0.006790462	3922	1.058517	1.386445	0.985275	0.986225	75.676323
EXP039485	R157.1.3H3	Q16656	NRF1_HUMAN	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91816	None	ENCSR494TDU	None	None	GSE91548	None	ENCSR173USI	0.27566494	0	0.071098511	0.248620927	4731	4.331909	2.679943	0.773308	0.938236	39.594516
EXP039506	A302-474A	O60315	ZEB2_HUMAN	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91406	None	ENCSR004GKA	None	None	GSE91548	None	ENCSR173USI	0.030879594	0	0.015675242	0.023679861	3816	1.103637	1.386354	0.986907	0.988014	88.856261
EXP039513	HPA001923	P35712	SOX6_HUMAN	Transcription factor SOX-6	SOX6	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR788RSW	None	None	GSE91548	None	ENCSR173USI	0.033226513	0	0.014248863	0.014969857	3361	1.131286	1.445737	0.980256	0.983255	65.755061
EXP039522	A303-570A	Q12968	NFAC3_HUMAN	"Nuclear factor of activated T-cells, cytoplasmic 3 (NF-ATc3) (NFATc3) (NFATx) (T-cell transcription factor NFAT4) (NF-AT4)"	NFATC3 NFAT4	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR670FDA	None	None	GSE91548	None	ENCSR173USI	0.002234402	0.019423368	0.000300648	0.001479645	3512	1.029442	1.463793	0.991219	0.99152	120.255832
EXP039541	A300-810A	Q969G3	SMCE1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57)	SMARCE1 BAF57	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91538	None	ENCSR157TCS	None	None	GSE91548	None	ENCSR173USI	0.041508883	0.164553377	0.020476376	0.027359699	4034	1.119057	1.420637	0.984792	0.985939	75.270639
EXP039542	3742S	Q01094	E2F1_HUMAN	Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)	E2F1 RBBP3	Homo sapiens	K562 (myelogenous leukemia)	None	normal	None	None	ENCSR563LLO	None	None	GSE91548	None	ENCSR173USI	0.011641891	0	0.039066099	0.011148253	4454	1.07812	1.679954	0.992028	0.993038	156.994089
EXP039595	GTX108356	Q14469	HES1_HUMAN	Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL)	HES1 BHLHB39 HL HRY	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE91470	None	ENCSR091JXL	None	None	GSE91548	None	ENCSR173USI	0.010073634	0.026103032	0.038191073	0.00862477	3763	1.056734	1.634579	0.991929	0.992607	142.114478
EXP039600	A301-017A	O60264	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE92145	None	ENCSR895HSJ	None	None	GSE91548	None	ENCSR173USI	0.006692659	0.061723116	0.000243365	0.003321802	3980	1.031857	1.614542	0.986125	0.986666	76.579515
EXP039644	HPA005732	Q86T24	KAISO_HUMAN	Transcriptional regulator Kaiso (Zinc finger and BTB domain-containing protein 33)	ZBTB33 KAISO ZNF348	Homo sapiens	K562 (myelogenous leukemia)	None	normal	GSE92126	None	ENCSR876GXA	None	None	GSE91548	None	ENCSR173USI	0.101528872	0.255850056	0.09197655	0.074322368	3835	1.23699	1.521717	0.979124	0.981183	57.994497
