tf	species	dataset
RAD51	Homo sapiens	ENCSR482TWQ.RAD51.GM12878;ERP001996.RAD51.U2OS_UASISIER;ENCSR081WLS.RAD51.Hep-G2;ENCSR524BUE.RAD51.K-562;ENCSR442VBJ.RAD51.MCF-7;GSE90967.RAD51.U2OS;GSE90967.RAD51.U2OS_CX-5461
RARA	Homo sapiens	ENCSR500WXT.RARA.Hep-G2;GSE69119.RARA.SK-N-SH;GSE60477.RARA.TSU-1621MT;GSE98006.RARA.U-937_ATRA-treated_RAR
RB1	Homo sapiens	ENCSR785OKZ.RB1.GM12878;ENCSR916BOH.RB1.GM12878;ENCSR506CVF.RB1.K-562;ENCSR670JDQ.RB1.K-562;GSE19898.RB1.fibroblast_SENESCENT;GSE98728.RB1.MCF-7_siGFP;GSE98728.RB1.MCF-7_siH1.2
RBAK	Homo sapiens	ENCSR441UBA.RBAK.HEK293;GSE78099.RBAK.HEK293T
RBBP5	Homo sapiens	ENCSR330EXS.RBBP5.GM12878;ENCSR000AQI.RBBP5.K-562;ENCSR000AQC.RBBP5.WA01
RBFOX2	Homo sapiens	ENCSR784FYS.RBFOX2.Hep-G2;ENCSR822LBD.RBFOX2.K-562
RBM14	Homo sapiens	ENCSR423FCW.RBM14.K-562
RBM15	Homo sapiens	ENCSR850WUE.RBM15.K-562
RBM22	Homo sapiens	ENCSR356ECR.RBM22.Hep-G2;ENCSR848AOP.RBM22.K-562
RBM25	Homo sapiens	ENCSR791OZM.RBM25.K-562
RBM34	Homo sapiens	ENCSR899GSH.RBM34.K-562
RBM39	Homo sapiens	ENCSR339JTP.RBM39.Hep-G2;ENCSR764OXF.RBM39.K-562
RBP2	Homo sapiens	GSE28323.RBP2_L.U-937;GSE28323.RBP2.U-937
RBPJ	Homo sapiens	ENCSR596FEL.RBPJ.Hep-G2;GSE102761.RBPJ.HKC;GSE29600.RBPJ.CUTLL1;GSE59942.RBPJ.fibroblast_DERMAL;GSE79734.RBPJ.GIC;GSE75503.RBPJ.LCL;GSE75503.RBPJ.MUTUL;GSE29498.RBPJ.NHEK;GSE74557.RBPJ.GSC8-11;GSE74557.RBPJ.GSC8-11_12d-das;GSE74557.RBPJ.GSC8-11_dasatinib;GSE109625.RBPJ.HUVEC-C_VEGF_12h
RCOR1	Homo sapiens	ENCSR000DZC.RCOR1.GM12878;ENCSR618ICR.RCOR1.A-549;ENCSR000EDQ.RCOR1.Hep-G2;ENCSR000EFG.RCOR1.IMR-90;ENCSR000EGC.RCOR1.K-562;ENCSR000EGG.RCOR1.K-562;ENCSR391JII.RCOR1.MCF-7;ENCSR009TKN.RCOR1.SK-N-SH;ENCSR000ECM.RCOR1.HeLa-S3;GSE45441.RCOR1.HeLa;GSE57702.RCOR1.keratinocyte_diff;GSE112074.RCOR1.AML;GSE112074.RCOR1.AML_OG86
RCOR2	Homo sapiens	ENCSR455DOO.RCOR2.Hep-G2
RELA	Homo sapiens	ENCSR000DYM.RELA.GM10847;ENCSR000EAG.RELA.GM12878;ENCSR664POU.RELA.GM12878;ENCSR000EAI.RELA.GM12891;ENCSR000EAN.RELA.GM12892;ENCSR000EAQ.RELA.GM15510;ENCSR000EAW.RELA.GM18505;ENCSR000EBA.RELA.GM18526;ENCSR000EBD.RELA.GM18951;ENCSR000EBI.RELA.GM19099;ENCSR000EBM.RELA.GM19193;GSE100381.RELA.monocyte_nopretreatment;GSE100381.RELA.monocyte_notreatment;GSE102796.RELA.SW480_0h_TNFa;GSE102796.RELA.SW480_16h_TNFa;ENCSR772EEN.RELA.K-562;GSE103477.RELA.THP-1_eGFP-Pam3csk-0h;GSE103477.RELA.THP-1_eGFP-Pam3csk-4h;GSE51169.RELA.AC16;GSE51169.RELA.AC16_TNFA;GSE117250.RELA.BJAB;GSE117250.RELA.BJAB_1h-activation;GSE117250.RELA.BJAB_4h-activation;GSE62482.RELA.CD4_TH1_BAY;GSE62482.RELA.CD4_TH1_DMSO;GSE77225.RELA.HDF_DMSO;GSE77225.RELA.HDF_NUTLIN;GSE75562.RELA.HEK293_TNF-15min;GSE75562.RELA.HEK293_TNF-1h;GSE75562.RELA.HEK293_TNF-30min;GSE89017.RELA.HEK293;GSE89017.RELA.HEK293_15min;GSE89017.RELA.HEK293_30_min;GSE89017.RELA.HEK293_60_min;GSE52469.RELA.KB;GSE52469.RELA.KB_IL;GSE64223.RELA.KB;GSE64223.RELA.KB_5Z;GSE64223.RELA.KB_5Z_IL;GSE64223.RELA.KB_IL;GSE64223.RELA.KB_PHA;GSE64223.RELA.KB_PHA_IL;GSE63736.RELA.L1236;GSE83860.RELA.LNCaP_DHT_TNFA;GSE83860.RELA.LNCaP_SICTR_TNFA;GSE83860.RELA.LNCaP_SIFOXA1_TNFA;GSE83860.RELA.LNCaP_TNFA;GSE64233.RELA.SGBS;GSE64233.RELA.SGBS_TNF;GSE109996.RELA.U2OS;GSE109996.RELA.U2OS_10Gy_2h_recovery;GSE109953.RELA.786-O;GSE86092.RELA.786-O;GSE89212.RELA.Huh-7_IL1;GSE34500.RELA.HUVEC-C_TNF_0M;GSE34500.RELA.HUVEC-C_TNF_30M;GSE43070.RELA.HUVEC-C_TNF;GSE53998.RELA.HUVEC-C;GSE53998.RELA.HUVEC-C_TNF;GSE53998.RELA.HUVEC-C_TNF_JQ1;GSE87552.RELA.HUVEC-C_Notch1kd_IL1beta;GSE87552.RELA.HUVEC-C_Scr;GSE87552.RELA.HUVEC-C_Scr_IL1beta;GSE43070.RELA.IMR-90;GSE43070.RELA.IMR-90_TNF;GSE59530.RELA.MCF-7;GSE59530.RELA.MCF-7_E2;GSE59530.RELA.MCF-7_E2_TNF;GSE59530.RELA.MCF-7_TNF;GSE67295.RELA.MCF-7_E2_45m;GSE67295.RELA.MCF-7_IL1b_45m;GSE67295.RELA.MCF-7_TNFa_45m;GSE67295.RELA.MCF-7_Veh;GSE24518.RELA.HeLa-B2_DMSO;GSE24518.RELA.HeLa-B2_GRKD_DMSO;GSE24518.RELA.HeLa-B2_GRKD_TA_TNFA;GSE24518.RELA.HeLa-B2_P65KD_DMSO;GSE24518.RELA.HeLa-B2_P65KD_TA_TNFA;GSE24518.RELA.HeLa-B2_TA;GSE24518.RELA.HeLa-B2_TA_TNFA;GSE24518.RELA.HeLa-B2_TNFA;GSE89970.RELA.HAEC;GSE89970.RELA.HAEC_IL1b_4h;GSE89970.RELA.HAEC_TNFa_4h;GSE91018.RELA.Detroit-562_LPS;GSE91018.RELA.Detroit-562_Pam2CSK4;GSE91018.RELA.Detroit-562_Poly-I;GSE91018.RELA.Detroit-562_TNFa;GSE91018.RELA.Detroit-562_tri-DAP;GSE98012.RELA.786-M1A
RELB	Homo sapiens	ENCSR387QUV.RELB.GM12878;GSE63736.RELB.L1236
REPIN1	Homo sapiens	ENCSR146NLL.REPIN1.HEK293
REST	Homo sapiens	ENCSR000BGF.REST.GM12878;ENCSR000BQS.REST.GM12878;ENCSR896UBV.REST.HEK293;ERP000395.REST.hepatocyte;ENCSR000BUU.REST.Ishikawa;ENCSR867WPH.REST.liver;ENCSR893QWP.REST.liver;ENCSR000BTV.REST.neural;ENCSR000BJP.REST.PFSK1;ENCSR000BOX.REST.PFSK1;ENCSR000BQP.REST.A-549;ENCSR892DRK.REST.A-549;ENCSR871KYB.REST.GM23338;ENCSR000BJL.REST.Hep-G2;ENCSR000BOT.REST.Hep-G2;ENCSR000BTF.REST.HL-60;ENCSR000ATM.REST.K-562;ENCSR000BMW.REST.K-562;ENCSR137ZMQ.REST.K-562;ENCSR000BSP.REST.MCF-7;ENCSR000BJO.REST.PANC-1;ENCSR000BPK.REST.PANC-1;ENCSR000BUP.REST.PANC-1;ENCSR000BJJ.REST.SK-N-SH;ENCSR000BOZ.REST.SK-N-SH;ENCSR000BHM.REST.WA01;ENCSR663WAR.REST.WA01;ENCSR000BMN.REST.HeLa-S3;ENCSR000BVI.REST.HCT-116;GSE49570.REST.CD4;GSE51234.REST.GP5D;GSE51234.REST.GP5D_SIRAD21;GSE70482.REST.K-562;GSE49014.REST.NCI-H295R;GSE49014.REST.NCI-H295R_SF1
RFX1	Homo sapiens	ENCSR928API.RFX1.Hep-G2;ENCSR041AXL.RFX1.K-562;ENCSR968GIB.RFX1.K-562;ENCSR066TET.RFX1.MCF-7;ENCSR788XNX.RFX1.MCF-7
RFX2	Homo sapiens	GSE51234.RFX2.GP5D;GSE51234.RFX2.GP5D_SIRAD21
RFX3	Homo sapiens	ENCSR633OVO.RFX3.Hep-G2
RFX5	Homo sapiens	ENCSR000DZW.RFX5.GM12878;ENCSR064LJN.RFX5.A-549;ENCSR000EEA.RFX5.Hep-G2;ENCSR000EFD.RFX5.IMR-90;ENCSR000EGO.RFX5.K-562;ENCSR924TVL.RFX5.MCF-7;ENCSR000EHY.RFX5.SK-N-SH;ENCSR000ECF.RFX5.WA01;ENCSR000ECX.RFX5.HeLa-S3
RING1B	Homo sapiens	GSE105028.RING1B.WA09;GSE105028.RING1B.WA09_heat-shock
RLF	Homo sapiens	ENCSR718SDE.RLF.K-562
RNF2	Homo sapiens	ENCSR679FAB.RNF2.GM12878;ENCSR798EGJ.RNF2.A-549;ENCSR523XCR.RNF2.Hep-G2;ENCSR076YPO.RNF2.K-562;ENCSR138FUZ.RNF2.K-562;ENCSR608XTF.RNF2.K-562;ENCSR820GND.RNF2.K-562;ENCSR784VUY.RNF2.WA01;GSE104690.RNF2.WA01;GSE104059.RNF2.HUES-64;GSE34774.RNF2.HEK293T;GSE13084.RNF2.hESC;GSE51929.RNF2.HMELBRAF_OVER;GSE51929.RNF2.HMELBRAF_OVERTUMOR;GSE71675.RNF2.NCCIT
RUNX1	Homo sapiens	GSE102209.RUNX1.ALL-SIL;ERP008568.RUNX1.HL-60;GSE107553.RUNX1.HL-60;ENCSR414TYY.RUNX1.K-562;ENCSR588AKU.RUNX1.K-562;GSE101789.RUNX1.ME-1_Human-leukemia_AI-10-49;GSE109061.RUNX1.epididymis_HEE;GSE109061.RUNX1.epididymis_HEE_R1881;GSE60130.RUNX1.AMLBLAST;GSE64862.RUNX1.BONE_MARROW;GSE64862.RUNX1.CD34;GSE70660.RUNX1.CD34_ADULT;GSE70660.RUNX1.CD34_FETAL;GSE85524.RUNX1.HEK293T;GSE29180.RUNX1.Jurkat;GSE42575.RUNX1.Jurkat;GSE68976.RUNX1.Jurkat;GSE76181.RUNX1.Jurkat;GSE85524.RUNX1.Jurkat;GSE81992.RUNX1.NB4;GSE85524.RUNX1.PBMC;GSE23730.RUNX1.SKNO1;GSE58428.RUNX1.VCaP_DHT24H;GSE33850.RUNX1.CCRF-CEM;GSE45738.RUNX1.Kasumi-1;GSE62847.RUNX1.Kasumi-1;GSE65427.RUNX1.Kasumi-1;GSE75070.RUNX1.MCF-7;GSE79899.RUNX1.MV4-11;GSE109377.RUNX1.NALM-6;GSE87283.RUNX1.SKH1;GSE87283.RUNX1.SKH1_10d;GSE87283.RUNX1.SKH1_RUNX1-EVI1_KD;GSE79899.RUNX1.THP-1;GSE60477.RUNX1.TSU-1621MT;GSE65427.RUNX1.U-937;GSE109377.RUNX1.BCP-ALL_patient1;GSE46044.RUNX1.ME-1
RUNX1-3	Homo sapiens	GSE17954.RUNX1-3.Jurkat
RUNX1T1	Homo sapiens	GSE102697.RUNX1T1.Kasumi-1;GSE102697.RUNX1T1.Kasumi-1_CEBPA-ER;GSE102697.RUNX1T1.Kasumi-1_CEBPA-ER_E2;GSE102697.RUNX1T1.Kasumi-1_E2;GSE80773.RUNX1T1.CD34;GSE43834.RUNX1T1.Kasumi-1;GSE65427.RUNX1T1.Kasumi-1
RUNX2	Homo sapiens	ERP003787.RUNX2.IMSC3;GSE76937.RUNX2.SaOS-2;GSE33889.RUNX2.LNCaP-C4-2B
RUNX3	Homo sapiens	ENCSR000BRI.RUNX3.GM12878
RUVBL1	Homo sapiens	GSE107730.RUVBL1.Hep-G2;GSE97661.RUVBL1.Hep-G2
RUVBL2	Homo sapiens	GSE107730.RUVBL2.Hep-G2
RXR	Homo sapiens	GSE31939.RXR.LS180;GSE31939.RXR.LS180_125;ERP008801.RXR.macrophage;ERP009021.RXR.macrophage;GSE25426.RXR.THP-1_DIFF;GSE60477.RXR.TSU-1621MT
RXRA	Homo sapiens	ENCSR000BJD.RXRA.GM12878;ENCSR098XMN.RXRA.liver;ENCSR352QSB.RXRA.liver;ENCSR000BHU.RXRA.Hep-G2;GSE107734.RXRA.JMSU-1;GSE107734.RXRA.JMSU-1_RXRA-S427F;ENCSR000BVG.RXRA.SK-N-SH;ENCSR000BJW.RXRA.WA01
RXRB	Homo sapiens	ENCSR560SEP.RXRB.Hep-G2
RYBP	Homo sapiens	GSE104690.RYBP.WA01;GSE34774.RYBP.HEK293T
SAFB	Homo sapiens	ENCSR072VUO.SAFB.K-562
SALL1	Homo sapiens	ENCSR041ZIQ.SALL1.HEK293
SALL2	Homo sapiens	ENCSR044FMM.SALL2.HEK293
SALL4	Homo sapiens	GSE112729.SALL4.SNU-398
SAP130	Homo sapiens	ENCSR959OMS.SAP130.Hep-G2
SAP30	Homo sapiens	ENCSR000AQJ.SAP30.K-562;ENCSR000ATR.SAP30.WA01
SATB1	Homo sapiens	GSE108514.SATB1.Hep-G2;GSE73576.SATB1.SH-SY5Y;GSE73576.SATB1.SH-SY5Y_ABETA
SCRT1	Homo sapiens	ENCSR605MGM.SCRT1.HEK293;GSE76494.SCRT1.HEK293
SCRT2	Homo sapiens	ENCSR338DGO.SCRT2.HEK293
SETDB1	Homo sapiens	ENCSR348AGV.SETDB1.HEK293;ENCSR000EYD.SETDB1.U2OS;ENCSR000AUT.SETDB1.K-562;ENCSR000EWD.SETDB1.K-562;ENCSR000EWI.SETDB1.K-562;GSE36579.SETDB1.WN8532;GSE95456.SETDB1.HeLa_MORC2-KO
SETX	Homo sapiens	GSE52936.SETX.A-549_Influenza_PR8_NS1
SFMBT1	Homo sapiens	GSE45441.SFMBT1.HeLa;GSE45441.SFMBT1.HeLa-S3_G1
SFPQ	Homo sapiens	GSE94577.SFPQ.LTAD_DHT-1nM;GSE94577.SFPQ.LTAD_EtOH;GSE94577.SFPQ.LTAD_siCTBP1-AS-DH;GSE94577.SFPQ.LTAD_siCTBP1-AS-EtOH
SGF29	Homo sapiens	GSE20303.SGF29.HeLa
SIN3A	Homo sapiens	ENCSR000DYX.SIN3A.GM12878;ENCSR000BOY.SIN3A.PFSK1;ENCSR000BRM.SIN3A.A-549;ENCSR513XQX.SIN3A.A-549;ENCSR000BGL.SIN3A.Hep-G2;GSE103245.SIN3A.HUVEC-C;ENCSR000BLR.SIN3A.K-562;ENCSR920BLG.SIN3A.K-562;ENCSR000BUM.SIN3A.MCF-7;ENCSR468LUO.SIN3A.MCF-7;ENCSR000BOW.SIN3A.PANC-1;ENCSR000BPB.SIN3A.SK-N-SH;ENCSR000BIS.SIN3A.WA01;ENCSR000EBO.SIN3A.WA01;ENCSR000BSG.SIN3A.HCT-116
SIN3B	Homo sapiens	ENCSR452YHM.SIN3B.Hep-G2;ENCSR657JLK.SIN3B.K-562;ENCSR887ZEN.SIN3B.K-562
SIRT3	Homo sapiens	GSE41000.SIRT3.U2OS;GSE41000.SIRT3.U2OS_KOSIRT3;GSE41000.SIRT3.U2OS_UV
SIRT6	Homo sapiens	ENCSR000AUB.SIRT6.K-562;ENCSR000DOH.SIRT6.K-562;GSE102813.SIRT6.SK-MEL-239_L-C-B;GSE102813.SIRT6.SK-MEL-239_SIRT6-2-7;ENCSR000AUS.SIRT6.WA01
SIX2	Homo sapiens	GSE73865.SIX2.HEK;GSE75948.SIX2.kidney_fetal_16w;GSE75948.SIX2.kidney_fetal_17w
SIX4	Homo sapiens	ENCSR279IEM.SIX4.MCF-7
SIX5	Homo sapiens	ENCSR000BJE.SIX5.GM12878;ENCSR000BRL.SIX5.A-549;ENCSR000BGX.SIX5.K-562;ENCSR000BNW.SIX5.K-562;ENCSR000BIQ.SIX5.WA01
SKI	Homo sapiens	ENCSR754MUD.SKI.Hep-G2;GSE107553.SKI.HL-60;GSE107553.SKI.HL-60_CRISPRCas9_ctrl
SKIL	Homo sapiens	ENCSR212YKD.SKIL.GM12878;ENCSR336DXE.SKIL.K-562
SMAD1	Homo sapiens	ENCSR813DCK.SMAD1.GM12878;ENCSR038DJJ.SMAD1.K-562;GSE36578.SMAD1.BGO3;GSE29194.SMAD1.CD34_ERYTH_BMP;GSE29194.SMAD1.CD34_PROG_BMP
SMAD1-5	Homo sapiens	GSE92443.SMAD1-5.MDA-MB-231_TGF-beta
SMAD1-5-8	Homo sapiens	GSE83347.SMAD1-5-8.A-375
SMAD2	Homo sapiens	ENCSR189PYJ.SMAD2.K-562;GSE29422.SMAD2.endoderm;GSE29422.SMAD2.hESC;GSE52437.SMAD2.WA09_DMSO;GSE112326.SMAD2.HASMC_PBS;GSE112326.SMAD2.HASMC_TGFb;GSE99202.SMAD2.hESC_activinA_15h;GSE99202.SMAD2.hESC_YAP-_activinA_15h
SMAD2-3	Homo sapiens	GSE83787.SMAD2-3.MCF-10A_TGFB-16h
SMAD3	Homo sapiens	GSE104760.SMAD3.HCC1954;GSE104760.SMAD3.HCC1954_TGFb;GSE104760.SMAD3.MDA-MB-231;GSE104760.SMAD3.MDA-MB-231_TGFb;GSE104760.SMAD3.HMLE;GSE104760.SMAD3.HMLE_Doxycicline_TGFb;GSE104760.SMAD3.HMLE_TGFb;GSE21614.SMAD3.BGO3;GSE36578.SMAD3.BGO3;GSE36578.SMAD3.BGO3_DIFF_0H;GSE36578.SMAD3.BGO3_DIFF_2H;GSE36578.SMAD3.BGO3_DIFF_48H;GSE29422.SMAD3.endoderm;GSE29422.SMAD3.hESC;GSE75297.SMAD3.hESC;GSE75297.SMAD3.hESC_DIFF_D0;GSE75297.SMAD3.hESC_DIFF_D1;GSE75297.SMAD3.hESC_DIFF_D2;GSE38103.SMAD3.LX2_CALCIPOTRIOL_TGFB1;GSE38103.SMAD3.LX2_TGFB1;GSE92443.SMAD3.MDA-MB-231;GSE92443.SMAD3.MDA-MB-231_TGF-beta;GSE115317.SMAD3.HCASMC;GSE51509.SMAD3.NCI-H441;GSE51509.SMAD3.NCI-H441_SIITTF1
SMAD4	Homo sapiens	ENCSR826YMT.SMAD4.Hep-G2;GSE29422.SMAD4.endoderm;GSE29422.SMAD4.hESC;GSE97661.SMAD4.Hep-G2_Ab_13-2-1A5;GSE97661.SMAD4.Hep-G2_Ab_R516-1-1G12;GSE97661.SMAD4.Hep-G2_Ab_R516.2.1D12
SMAD5	Homo sapiens	ENCSR251OVJ.SMAD5.GM12878;ENCSR000FCD.SMAD5.K-562
SMARCA2	Homo sapiens	GSE94275.SMARCA2.SK-N-MC_shEWSFLI1;GSE94275.SMARCA2.SK-N-MC_shGFP
SMARCA4	Homo sapiens	GSE105028.SMARCA4.WA09;GSE108025.SMARCA4.Aska-SS;GSE108025.SMARCA4.Aska-SS_shSSX;ENCSR587OQL.SMARCA4.K-562;ENCSR643VTW.SMARCA4.K-562;GSE108025.SMARCA4.SYO-1;ENCSR000EZC.SMARCA4.HeLa-S3;ENCSR839SFJ.SMARCA4.neuron_bipolar_doxy_4d;GSE100266.SMARCA4.J-Lat_GFP-Clone-A72_DMSO;GSE100266.SMARCA4.J-Lat_GFP-Clone-A72_JQ1;GSE61965.SMARCA4.501MEL_SHCTR;GSE61965.SMARCA4.501MEL_SHMITF;GSE61965.SMARCA4.501MEL_SHSOX10;GSE71504.SMARCA4.BT-16_Dox;GSE71504.SMARCA4.BT-16_NoDox;GSE71504.SMARCA4.G-401_Dox;GSE71504.SMARCA4.G-401_NoDox;GSE74716.SMARCA4.MCF-10A;GSE71504.SMARCA4.TTC-549_Dox;GSE71504.SMARCA4.TTC-549_NoDox;GSE71510.SMARCA4.HCT-116
SMARCA5	Homo sapiens	ENCSR706YUH.SMARCA5.GM12878;ENCSR895HSJ.SMARCA5.K-562;ENCSR487ASM.SMARCA5.MCF-7
SMARCB1	Homo sapiens	ENCSR000EHN.SMARCB1.K-562;ENCSR000EDK.SMARCB1.HeLa-S3;GSE69566.SMARCB1.Hep-G2
SMARCC1	Homo sapiens	GSE108025.SMARCC1.Aska-SS;GSE108025.SMARCC1.Aska-SS_shSSX;GSE108514.SMARCC1.Hep-G2;GSE108025.SMARCC1.HS-SY-2;GSE108025.SMARCC1.SYO-1;ENCSR000EDM.SMARCC1.HeLa-S3;GSE71504.SMARCC1.BT-16_Dox;GSE71504.SMARCC1.G-401_Dox;GSE71504.SMARCC1.G-401_NoDox;GSE94275.SMARCC1.SK-N-MC;GSE94275.SMARCC1.SK-N-MC_shEWSFLI1;GSE94275.SMARCC1.SK-N-MC_shGFP;GSE71504.SMARCC1.TTC-549_Dox;GSE71504.SMARCC1.TTC-549_NoDox;GSE71510.SMARCC1.HCT-116
SMARCC2	Homo sapiens	ENCSR887LYD.SMARCC2.Hep-G2;ENCSR519WMW.SMARCC2.K-562;ENCSR000EDL.SMARCC2.HeLa-S3
SMARCE1	Homo sapiens	ENCSR968QDP.SMARCE1.Hep-G2;ENCSR157TCS.SMARCE1.K-562;ENCSR431TLD.SMARCE1.MCF-7;GSE96933.SMARCE1.HMLE-Twist-ER_125nM_4OHT
SMC1	Homo sapiens	GSE94992.SMC1.HAP1;GSE94992.SMC1.HAP1_SCC4KO;GSE94992.SMC1.HAP1_WaplKO-33;GSE94992.SMC1.HAP1_WaplKO-33_SCC4KO;GSE101921.SMC1.HMEC-1;GSE101921.SMC1.MCF-10A;GSE101921.SMC1.HCAEC;GSE104888.SMC1.HCT-116_RAD21-mAC;GSE104888.SMC1.HCT-116_RAD21-mAC_500uM_auxin
SMC1A	Homo sapiens	GSE93080.SMC1A.GM12878;GSE38395.SMC1A.LCL;GSE38411.SMC1A.BCBL-1;GSE76893.SMC1A.A-549;GSE76893.SMC1A.Hep-G2;GSE76893.SMC1A.MCF-7;GSE112000.SMC1A.HCT-116;GSE84657.SMC1A.primary-epidermal-keratinocyte_diff_d0;GSE84657.SMC1A.primary-epidermal-keratinocyte_diff_d3;GSE84657.SMC1A.primary-epidermal-keratinocyte_diff_d6;GSE85526.SMC1A.Primary-epidermal-keratinocyte;GSE98367.SMC1A.monocyte;GSE98367.SMC1A.monocyte_INFg
SMC3	Homo sapiens	ENCSR000DZP.SMC3.GM12878;GSE105004.SMC3_ac.HeLa_ESCO2_ctrl_siRNA;GSE105004.SMC3_ac.HeLa_ESCO2-deltaPBMA_ctrl_siRNA;GSE105004.SMC3.HeLa_ESCO2-deltaPBMA_ctrl_siRNA;GSE105004.SMC3.HeLa_ESCO2-deltaPBMA_ESCO1_siRNA;GSE105004.SMC3.HeLa_ESCO2_ESCO1_siRNA;ENCSR404BPV.SMC3.neural;ENCSR481YWD.SMC3.A-549;ENCSR000EDW.SMC3.Hep-G2;ERP008568.SMC3.HL-60;ENCSR000HPG.SMC3.IMR-90;ENCSR000EGW.SMC3.K-562;ENCSR000EHW.SMC3.SK-N-SH;ERP008568.SMC3.U-937;ENCSR000ECS.SMC3.HeLa-S3;GSE102884.SMC3.HeLa-Kyoto;GSE102884.SMC3.HeLa-Kyoto_PDS5-depleted;GSE102884.SMC3.HeLa-Kyoto_WAPL-depleted;GSE102884.SMC3.HeLa-Kyoto_WAPL_PDS-depleted;GSE51234.SMC3.GP5D;GSE51234.SMC3.GP5D_SIRAD21
SMC4	Homo sapiens	GSE22478.SMC4.HeLa_M
SNAI1	Homo sapiens	GSE76494.SNAI1.HEK293
SNAI2	Homo sapiens	GSE55421.SNAI2.keratinocyte_LacZ;GSE55421.SNAI2.keratinocyte_LacZ_DIFF;GSE55421.SNAI2.keratinocyte_SHCTR;GSE55421.SNAI2.keratinocyte_SHSNAI2;GSE55421.SNAI2.keratinocyte_SNAI2;GSE55421.SNAI2.keratinocyte_SNAI2_diff
SNAPC1	Homo sapiens	GSE37403.SNAPC1.MCF-10A
SNAPC4	Homo sapiens	GSE37403.SNAPC4.MCF-10A
SND1	Homo sapiens	GSE29498.SND1.NHEK
SNIP1	Homo sapiens	ENCSR654CQU.SNIP1.K-562;ENCSR042TWZ.SNIP1.MCF-7
SNRNP70	Homo sapiens	ENCSR754ZHU.SNRNP70.K-562
SOX10	Homo sapiens	GSE61965.SOX10.501MEL
SOX11	Homo sapiens	GSE52146.SOX11.GRANT-A519
SOX13	Homo sapiens	ENCSR445ACU.SOX13.Hep-G2;ENCSR715UCI.SOX13.Hep-G2
SOX2	Homo sapiens	GSE36570.SOX2.BJ_INDUCED;GSE67282.SOX2.glioma_stem;GSE18292.SOX2.hESC;GSE69479.SOX2.hESC;GSE69479.SOX2.HNSC;GSE46837.SOX2.KYSE70;GSE49404.SOX2.RENVM;GSE49404.SOX2.RENVM_SHSOX2;GSE46837.SOX2.TT;GSE46837.SOX2.H9;GSE56567.SOX2.hiPSC;GSE67282.SOX2.hiPSC;GSE67282.SOX2.hiPSC_INHI;GSE67282.SOX2.hiPSC_KDP53;GSE67282.SOX2.hiPSC_KDP53_INHI;GSE81899.SOX2.hiPSC_3s2;GSE81899.SOX2.OSK;GSE81899.SOX2.OSKM;GSE81899.SOX2.OSvK;GSE81899.SOX2.OSvKM
SOX4	Homo sapiens	GSE104760.SOX4.HCC1954;GSE104760.SOX4.HCC1954_TGFb;GSE104760.SOX4.MDA-MB-231;GSE104760.SOX4.MDA-MB-231_TGFb;GSE104760.SOX4.HMLE;GSE104760.SOX4.HMLE_Doxycicline;GSE104760.SOX4.HMLE_Doxycicline_TGFb;GSE104760.SOX4.HMLE_TGFb;GSE75910.SOX4.MRC-5_1DPT
SOX5	Homo sapiens	ENCSR961WLZ.SOX5.Hep-G2
SOX6	Homo sapiens	ENCSR543BVU.SOX6.Hep-G2;ENCSR788RSW.SOX6.K-562
SOX9	Homo sapiens	GSE63629.SOX9.HT29
SP1	Homo sapiens	ENCSR000BHK.SP1.GM12878;ENCSR906PEI.SP1.HEK293T;ERP007114.SP1.HEK293T;ENCSR085IXF.SP1.liver;ENCSR386YIH.SP1.liver;ENCSR000BPE.SP1.A-549;ENCSR000BJX.SP1.Hep-G2;ENCSR334KIQ.SP1.Hep-G2;ERP008568.SP1.HL-60;ENCSR000BKO.SP1.K-562;ENCSR991ELG.SP1.K-562;ENCSR729LGA.SP1.MCF-7;ENCSR000BIR.SP1.WA01;ENCSR000BSF.SP1.HCT-116;GSE76494.SP1.HEK293;GSE68044.SP1.A-375_A771726;GSE68044.SP1.A-375_DMSO
SP140	Homo sapiens	GSE90126.SP140.macrophage;GSE90126.SP140.macrophage_LPS
SP2	Homo sapiens	ENCSR807LQP.SP2.HEK293;ERP007114.SP2.HEK293T;ENCSR000BOU.SP2.Hep-G2;ENCSR000BNL.SP2.K-562;ENCSR000BQG.SP2.WA01;GSE76494.SP2.HEK293
SP3	Homo sapiens	ENCSR141PZA.SP3.HEK293
SP4	Homo sapiens	ENCSR000BQV.SP4.WA01;GSE76494.SP4.HEK293
SP5	Homo sapiens	ENCSR019NPF.SP5.Hep-G2
SP7	Homo sapiens	ENCSR468IJT.SP7.HEK293
SPDEF	Homo sapiens	GSE86957.SPDEF.A-549
